Code,Constituency,Latitude,Longitude,Postcodes,Active Postcodes,MP,Party
E14001245,Gedling,52.987499,-1.10523,3070,2286,Michael Payne,Labour
E14001246,Gillingham and Rainham,51.370899,0.575811,2862,2083,Naushabah Khan,Labour
S14000084,Glasgow East,55.848,-4.20396,4509,2762,John Grady,Labour
S14000085,Glasgow North,55.8745,-4.27024,5738,2784,Martin Rhodes,Labour
S14000086,Glasgow North East,55.869598,-4.20126,4929,2779,Maureen Burke,Labour
S14000087,Glasgow South,55.821201,-4.26587,3140,2089,Gordon McKee,Labour
S14000088,Glasgow South West,55.841301,-4.31752,3511,2425,Dr Zubir Ahmed,Labour
S14000089,Glasgow West,55.8871,-4.33706,3501,2415,Patricia Ferguson,Labour
E14001247,Glastonbury and Somerton,51.057499,-2.64617,4382,3590,Sarah Dyke,Liberal Democrat
S14000090,Glenrothes and Mid Fife,56.179001,-3.17752,2877,2495,Richard Baker,Labour
E14001248,Gloucester,51.846802,-2.23903,4987,2748,Alex McIntyre,Labour
E14001249,Godalming and Ash,51.185699,-0.600642,4360,3302,Jeremy Hunt,Conservative
E14001250,Goole and Pocklington,53.804699,-0.787586,4830,3323,Sir David Davis,Conservative
S14000091,Gordon and Buchan,57.385101,-2.36801,8194,3708,Harriet Cross,Conservative
E14001251,Gorton and Denton,53.449501,-2.15622,3478,2571,Andrew Gwynne,Labour
E14001252,Gosport,50.807301,-1.16711,2842,2264,Dame Caroline Dinenage,Conservative
W07000097,Gower,51.643002,-4.03208,3653,2458,Tonia Antoniazzi,Labour
E14001253,Grantham and Bourne,52.897499,-0.54987,3663,2950,Gareth Davies,Conservative
E14001254,Gravesham,51.424702,0.374126,3097,2260,Dr Lauren Sullivan,Labour
E14001255,Great Grimsby and Cleethorpes,53.562099,-0.077573,4025,2823,Melanie Onn,Labour
E14001256,Great Yarmouth,52.6134,1.70747,3332,2724,Rupert Lowe,Reform UK
E14001257,Greenwich and Woolwich,51.4851,0.030072,3620,2274,Matthew Pennycook,Labour
E14001258,Guildford,51.251499,-0.557785,5379,2906,Zöe Franklin,Liberal Democrat
E14001259,Hackney North and Stoke Newington,51.562401,-0.067613,3081,1771,Ms Diane Abbott,Labour
E14001260,Hackney South and Shoreditch,51.536598,-0.068259,3306,2280,Dame Meg Hillier,Labour
E14001261,Halesowen,52.462101,-2.0624,2819,2019,Alex Ballinger,Labour
E14001262,Halifax,53.7258,-1.87433,4791,3402,Kate Dearden,Labour
E14001263,Hamble Valley,50.885101,-1.2879,5136,2571,Paul Holmes,Conservative
S14000092,Hamilton and Clyde Valley,55.7369,-3.97619,3343,2634,Imogen Walker,Labour
E14001264,Hammersmith and Chiswick,51.4967,-0.238552,5556,2374,Andy Slaughter,Labour
E14001265,Hampstead and Highgate,51.553501,-0.173733,4758,2746,Tulip Siddiq,Labour
E14001266,Harborough Oadby and Wigston,52.554298,-1.04025,3737,2262,Neil O'Brien,Conservative
E14001267,Harlow,51.773998,0.112903,3634,2413,Chris Vince,Labour
E14001268,Harpenden and Berkhamsted,51.796398,-0.472168,4465,3096,Victoria Collins,Liberal Democrat
E14001269,Harrogate and Knaresborough,54.000198,-1.51856,4232,2674,Tom Gordon,Liberal Democrat
E14001270,Harrow East,51.604,-0.30272,3137,2121,Bob Blackman,Conservative
E14001271,Harrow West,51.581402,-0.342257,4387,2216,Gareth Thomas,Labour
E14001272,Hartlepool,54.680901,-1.22545,3470,2673,Jonathan Brash,Labour
E14001273,Harwich and North Essex,51.890499,1.00949,4002,3209,Sir Bernard Jenkin,Conservative
E14001274,Hastings and Rye,50.879601,0.595096,3907,2507,Helena Dollimore,Labour
E14001275,Havant,50.8452,-0.984485,3127,2370,Alan Mak,Conservative
E14001276,Hayes and Harlington,51.5014,-0.431253,4291,2283,John McDonnell,Labour
E14001277,Hazel Grove,53.3993,-2.09798,3054,2152,Lisa Smart,Liberal Democrat
E14001278,Hemel Hempstead,51.751301,-0.467876,3620,2366,David Taylor,Labour
E14001279,Hendon,51.599998,-0.246385,5581,2883,David Pinto-Duschinsky,Labour
E14001280,Henley and Thame,51.631199,-1.02562,6650,3726,Freddie Van Mierlo,Liberal Democrat
E14001281,Hereford and South Herefordshire,52.003201,-2.71942,4309,3183,Jesse Norman,Conservative
E14001282,Herne Bay and Sandwich,51.341702,1.2317,3767,3055,Sir Roger Gale,Conservative
E14001283,Hertford and Stortford,51.827499,0.039549,4829,2935,Josh Dean,Labour
E14001284,Hertsmere,51.668098,-0.278635,5514,3068,Sir Oliver Dowden,Conservative
E14001285,Hexham,55.0121,-2.03281,6020,4908,Joe Morris,Labour
E14001286,Heywood and Middleton North,53.585499,-2.20507,3621,2548,Mrs Elsie Blundell,Labour
E14001287,High Peak,53.364601,-1.9407,5215,2869,Jon Pearce,Labour
E14001288,Hinckley and Bosworth,52.572601,-1.37928,3109,2314,Dr Luke Evans,Conservative
E14001289,Hitchin,51.970699,-0.282674,3433,2546,Alistair Strathern,Labour
E14001290,Holborn and St Pancras,51.528301,-0.131287,11879,5772,Sir Keir Starmer,Labour
E14001291,Honiton and Sidmouth,50.7687,-3.18278,5683,4035,Richard Foord,Liberal Democrat
E14001292,Hornchurch and Upminster,51.577,0.231015,3305,2149,Julia Lopez,Conservative
E14001293,Hornsey and Friern Barnet,51.590199,-0.130278,3153,1856,Catherine West,Labour
E14001294,Horsham,51.054001,-0.342064,4466,2851,John Milne,Liberal Democrat
E14001295,Houghton and Sunderland South,54.8601,-1.45115,3076,2495,Bridget Phillipson,Labour
E14001296,Hove and Portslade,50.835701,-0.18466,3974,1900,Peter Kyle,Labour
E14001297,Huddersfield,53.646599,-1.77857,4307,2806,Harpreet Uppal,Labour
E14001298,Huntingdon,52.342999,-0.170757,7365,3238,Ben Obese-Jecty,Conservative
E14001299,Hyndburn,53.751801,-2.37297,3041,2343,Sarah Smith,Labour
E14001300,Ilford North,51.586601,0.077072,2277,1748,Wes Streeting,Labour
E14001301,Ilford South,51.562,0.088864,3537,1700,Jas Athwal,Labour
S14000093,Inverclyde and Renfrewshire West,55.926399,-4.72876,3459,2664,Martin McCluskey,Labour
S14000094,Inverness Skye and West Ross-shire,57.361401,-4.69429,4740,3223,Angus MacDonald,Liberal Democrat
E14001302,Ipswich,52.052601,1.15847,4374,2864,Jack Abbott,Labour
E14001303,Isle of Wight East,50.6758,-1.16724,3161,2503,Joe Robertson,Conservative
E14001304,Isle of Wight West,50.700298,-1.34453,3237,2621,Richard Quigley,Labour
E14001305,Islington North,51.560501,-0.115763,3731,1936,Jeremy Corbyn,Independent
E14001306,Islington South and Finsbury,51.5312,-0.105751,10082,4692,Emily Thornberry,Labour
